# Total Jobs Found: 363, Scrape Date: 2026-01-07 13:23:03
title,company,location,posted_date,link,source
Associate- Data Annotation,Digital Divide Data (DDD),"Nairobi, Nairobi County, Kenya",2025-12-01,https://ke.linkedin.com/jobs/view/associate-data-annotation-at-digital-divide-data-ddd-4340744170?position=1&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=Yb%2Fn1pxhuaGVZq%2Bo1VDqIA%3D%3D,LinkedIn
INTERNSHIP – DATA ANALYSIS & REPORTING ASSISTANT,ReliefWeb,Kenya,2025-12-23,https://ke.linkedin.com/jobs/view/internship-%E2%80%93-data-analysis-reporting-assistant-at-reliefweb-4328876447?position=2&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=n4HWOWE8S5cKTEqTTVObJA%3D%3D,LinkedIn
Data Analyst,Endeavor Kenya,"Nzalae/ Nzawa locations, Kitui County, Kenya",2025-11-04,https://ke.linkedin.com/jobs/view/data-analyst-at-endeavor-kenya-4320605248?position=3&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=zzqP%2BZb72iHVn2xVzGOoJA%3D%3D,LinkedIn
**** *******,******** **********,*****,2025-11-15,https://ke.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336075512?position=4&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=ThHsyEosZRZr0r93fdIIIA%3D%3D,LinkedIn
********** ******** & **** *********,*****,*****,2025-12-18,https://ke.linkedin.com/jobs/view/commercial-insights-data-associate-at-axmed-4344821073?position=5&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=6zlre4yAc%2Bl2IM%2BBvr7Cyw%3D%3D,LinkedIn
****** **** *******,**** ******,"*******, ******* ******, *****",2025-11-28,https://ke.linkedin.com/jobs/view/senior-data-analyst-at-watu-credit-4339811567?position=6&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=f0m3yAQZ3FBngTdlVLsjOw%3D%3D,LinkedIn
"********** ** ******* (*******, *****)",****,"*******, ******* ******, *****",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=7&pageNum=0&refId=i9YuVswcj2TfAUxIXw3h2g%3D%3D&trackingId=slJAOZi5akTWT9zF%2Bwrbqg%3D%3D,LinkedIn
Software Engineer - Fresher,Redian Software In Africa,"Nairobi, Nairobi County, Kenya",2025-12-29,https://ke.linkedin.com/jobs/view/software-engineer-fresher-at-redian-software-in-africa-4346388736?position=1&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=dnN18rueiKVn6erx%2BvmZ5Q%3D%3D,LinkedIn
Data Engineer,BURN,"Nairobi, Nairobi County, Kenya",2025-12-02,https://ke.linkedin.com/jobs/view/data-engineer-at-burn-4341015039?position=2&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=NFfakhGWBKxRJfQcnHgJBA%3D%3D,LinkedIn
Technology Consultant (Data - AI),Microsoft,"Nzalae/ Nzawa locations, Kitui County, Kenya",2026-01-01,https://ke.linkedin.com/jobs/view/technology-consultant-data-ai-at-microsoft-4346952162?position=3&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=EABzM9%2B9ccqpkik6vEPIjg%3D%3D,LinkedIn
**** ********,****,"******* ******, *****",2025-11-11,https://ke.linkedin.com/jobs/view/data-engineer-at-obss-4313365587?position=4&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=G6qpKDelmdOMscUIGFWS6A%3D%3D,LinkedIn
********** – **** ******** & ********* *********,*********,*****,2025-12-23,https://ke.linkedin.com/jobs/view/internship-%E2%80%93-data-analysis-reporting-assistant-at-reliefweb-4328876447?position=5&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=FfDX8qaiiEjXdnzTYZJ%2F5A%3D%3D,LinkedIn
**** ******** – ** **********,********,"******/ ***** *********, ***** ******, *****",2025-11-25,https://ke.linkedin.com/jobs/view/data-engineer-%E2%80%93-ai-compliance-at-allcares-4339135084?position=6&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=dgB%2FszYNu7iRVAB%2FP9gRDw%3D%3D,LinkedIn
**** *******,******** *****,"******/ ***** *********, ***** ******, *****",2025-11-04,https://ke.linkedin.com/jobs/view/data-analyst-at-endeavor-kenya-4320605248?position=7&pageNum=0&refId=QOiX26%2BWGTaf1Ti2j3ug2g%3D%3D&trackingId=8Q0Ns0fvswPHtSMQ6VHziw%3D%3D,LinkedIn
Data Engineer,BURN,"Nairobi, Nairobi County, Kenya",2025-12-02,https://ke.linkedin.com/jobs/view/data-engineer-at-burn-4341015039?position=1&pageNum=0&refId=Iet6nRnyFHHO3zHXPFNa8Q%3D%3D&trackingId=Wfz3LemLMV5Z%2Fk78NP09Ww%3D%3D,LinkedIn
INTERNSHIP – DATA ANALYSIS & REPORTING ASSISTANT,ReliefWeb,Kenya,2025-12-23,https://ke.linkedin.com/jobs/view/internship-%E2%80%93-data-analysis-reporting-assistant-at-reliefweb-4328876447?position=2&pageNum=0&refId=Iet6nRnyFHHO3zHXPFNa8Q%3D%3D&trackingId=7V14lYMILfxy1NsDgU9cJw%3D%3D,LinkedIn
